sku,digikey_url,digikey_inventory,digikey_price,digikey_status,newark_url,newark_inventory,newark_price,newark_status,combined_inventory,InStock,combined_status,last_updated
781963-01,https://www.digikey.com/en/products/detail/ni/781963-01/16647673,5.0,1669.5,Active,https://www.newark.com/ni/781963-01/ni-9866-lin-interface-module-20kbps/dp/13AJ4007,13.0,1513.68,STOCKED,18.0,True,Active,12-22-2025
781964-01,https://www.digikey.com/en/products/detail/ni/781964-01/18709864,0.0,1388.25,Active,https://www.newark.com/ni-emerson/781964-01/usb-8452-i2c-spi-interface-device/dp/14AJ5438,0.0,1234.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
781964-02,https://www.digikey.com/en/products/detail/ni/781964-02/12817703,27.0,1301.62,Active,https://www.newark.com/ni/781964-02/usb-8452-i2c-spi-interface-device/dp/13AJ4008,6.0,1180.14,STOCKED,33.0,True,Active,12-22-2025
781964-03,https://www.digikey.com/en/products/detail/ni/781964-03/12817896,47.0,1424.01,Active,https://www.newark.com/ni/781964-03/usb-8452-i2c-spi-interface-device/dp/13AJ4009,35.0,1452.48,STOCKED,82.0,True,Active,12-22-2025
781974-01,https://www.digikey.com/en/products/detail/ni/781974-01/18710434,1.0,162.0,Active,https://www.newark.com/ni-emerson/781974-01/pxie-4140-1-screw-terminal-connector/dp/14AJ5440,0.0,144.0,NO_LONGER_STOCKED,1.0,True,Active,12-22-2025
781985-22,https://www.digikey.com/en/products/detail/ni/781985-22/16648270,0.0,0.0,Obsolete,https://www.newark.com/ni/781985-22-960680-100/standard-service-program-hw-3year/dp/14AJ9913,0.0,,NO_LONGER_MANUFACTURED,0.0,False,Obsolete,12-22-2025
781986-25,https://www.digikey.com/en/products/detail/ni/781986-25/16648456,0.0,8596.12,Active,https://www.newark.com/ni-emerson/781986-25/pxie-2725-programmable-resistor/dp/14AJ5443,0.0,7641.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
781986-27,https://www.digikey.com/en/products/detail/ni/781986-27/16648731,3.0,8596.12,Active,https://www.newark.com/ni/781986-27/pxie-2727-programmable-resistor/dp/14AJ5444,3.0,7793.82,STOCKED,6.0,True,Active,12-22-2025
781989-01,https://www.digikey.com/en/products/detail/ni/781989-01/15219179,3.0,1158.75,Active,https://www.newark.com/ni/781989-01/rack-mount-kit-crio-cdaq/dp/14AJ5447,1.0,1030.0,NO_LONGER_STOCKED,4.0,True,Active,12-22-2025
782000-01,https://www.digikey.com/en/products/detail/ni/782000-01/15219046,3.0,3676.5,Active,https://www.newark.com/ni/782000-01/ni-9232-sound-vibration-module/dp/13AJ4010,21.0,3333.36,STOCKED,24.0,True,Active,12-22-2025
782000-02,https://www.digikey.com/en/products/detail/ni/782000-02/15218931,1.0,4043.25,Active,https://www.newark.com/ni/782000-02/ni-9232-sound-vibration-module/dp/14AJ5448,4.0,3665.88,STOCKED,5.0,True,Active,12-22-2025
782002-01,https://www.digikey.com/en/products/detail/ni/782002-01/16647925,0.0,21438.0,Active,https://www.newark.com/ni-emerson/782002-01/vxi-8360lt-remote-cntrl-module/dp/14AJ5449,0.0,19056.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782015-01,https://www.digikey.com/en/products/detail/ni/782015-01/16647767,0.0,362.25,Active,https://www.newark.com/ni-emerson/782015-01/db25f-db25f-multifunction-cable/dp/14AJ5454,0.0,322.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782015-02,https://www.digikey.com/en/products/detail/ni/782015-02/16648031,1.0,384.75,Active,https://www.newark.com/ni/782015-02/db25f-db25f-multifunction-cable/dp/14AJ5455,1.0,342.0,NO_LONGER_STOCKED,2.0,True,Active,12-22-2025
782022-01,https://www.digikey.com/en/products/detail/ni/782022-01/18710242,0.0,209.25,Active,https://www.newark.com/ni-emerson/782022-01/camera-cable-1m-smart-camera/dp/14AJ5457,0.0,186.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782051-01,https://www.digikey.com/en/products/detail/ni/782051-01/16647226,0.0,311.62,Active,https://www.newark.com/ni-emerson/782051-01/im42gr-relay-replacement-kit/dp/15AJ5770,0.0,277.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782052-01,https://www.digikey.com/en/products/detail/ni/782052-01/15219021,5.0,1204.88,Active,https://www.newark.com/ni-emerson/782052-01/cdaq-9181-chassis-1slot-compactdaq/dp/14AJ5459,0.0,1071.0,NO_LONGER_STOCKED,5.0,True,Active,12-22-2025
782055-01,https://www.digikey.com/en/products/detail/ni/782055-01/18710097,0.0,156.38,Active,https://www.newark.com/ni-emerson/782055-01/tripod-adapter-plate-basler-ace/dp/38AJ3132,0.0,139.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782057-01,https://www.digikey.com/en/products/detail/ni/782057-01/16647210,0.0,67318.1,Obsolete,,,,,,False,Obsolete,12-22-2025
782057-02,https://www.digikey.com/en/products/detail/ni/782057-02/16648161,0.0,79427.62,Obsolete,,,,,,False,Obsolete,12-22-2025
782058-01,https://www.digikey.com/en/products/detail/ni/782058-01/16647951,0.0,93499.45,Obsolete,,,,,,False,Obsolete,12-22-2025
782058-02,https://www.digikey.com/en/products/detail/ni/782058-02/16648556,0.0,106846.28,Obsolete,,,,,,False,Obsolete,12-22-2025
782066-01,https://www.digikey.com/en/products/detail/ni/782066-01/18709812,0.0,257.62,Active,https://www.newark.com/ni-emerson/782066-01/power-supply-power-supply-for/dp/57AJ1154,0.0,229.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782082-01,https://www.digikey.com/en/products/detail/ni/782082-01/16648643,0.0,191.25,Active,https://www.newark.com/ni-emerson/782082-01/piezo-inductor-pack-test-equipment/dp/14AJ5466,0.0,170.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782083-01,https://www.digikey.com/en/products/detail/ni/782083-01/16647858,0.0,886.5,Active,https://www.newark.com/ni-emerson/782083-01/o2-sensor-kit-with-sensor/dp/14AJ5467,0.0,788.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782092-01,https://www.digikey.com/en/products/detail/ni/782092-01/18710109,0.0,972.0,Active,https://www.newark.com/ni-emerson/782092-01/sma-2165-terminal-block/dp/14AJ5468,0.0,864.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782097-01,https://www.digikey.com/en/products/detail/ni/782097-01/16648180,0.0,19499.62,Active,https://www.newark.com/ni-emerson/782097-01/ni-5772-1-6-gs-s-12-bit-digitizer/dp/37AJ6259,0.0,17333.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782097-02,https://www.digikey.com/en/products/detail/ni/782097-02/16648658,0.0,19633.5,Active,https://www.newark.com/ni-emerson/782097-02/ni-5772-1-6-gs-s-12-bit-digitizer/dp/37AJ6261,0.0,17452.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782106-01,https://www.digikey.com/en/products/detail/ni/782106-01/18710397,0.0,5575.5,Active,https://www.newark.com/ni-emerson/782106-01/replacement-power-supply/dp/15AJ5771,0.0,4956.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782107-01,https://www.digikey.com/en/products/detail/ni/782107-01/18710044,0.0,1216.12,Active,https://www.newark.com/ni-emerson/782107-01/replacement-fan-assembly-pxi-chassis/dp/15AJ5772,0.0,1081.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782108-01,https://www.digikey.com/en/products/detail/ni/782108-01/18710108,0.0,210.38,Active,https://www.newark.com/ni/782108-01/power-cable-pxi-chassis/dp/14AJ5469,0.0,,NO_LONGER_MANUFACTURED,0.0,False,Obsolete,12-22-2025
782109-01,https://www.digikey.com/en/products/detail/ni/782109-01/16648577,0.0,0.0,Discontinued at Digi-Key,https://www.newark.com/ni/782109-01-960457-04/iso-17025-calibration-certificate/dp/14AJ9964,0.0,,NO_LONGER_MANUFACTURED,0.0,False,Obsolete,12-22-2025
782110-01,https://www.digikey.com/en/products/detail/ni/782110-01/16648537,4.0,5222.88,Active,https://www.newark.com/ni/782110-01/pxi-6683-synchronization-module/dp/13AJ4012,0.0,,NO_LONGER_MANUFACTURED,4.0,True,Obsolete,12-22-2025
782118-01,https://www.digikey.com/en/products/detail/ni/782118-01/16648418,1.0,6109.88,Active,https://www.newark.com/ni/782118-01/pxie-4357-pxi-temperature-input/dp/14AJ5472,0.0,5539.62,STOCKED,1.0,True,Active,12-22-2025
782119-01,https://www.digikey.com/en/products/detail/ni/782119-01/18710269,1.0,824.62,Active,https://www.newark.com/ni/782119-01/tb-4357-terminal-block/dp/13AJ4013,0.0,747.66,STOCKED,1.0,True,Active,12-22-2025
782121-01,https://www.digikey.com/en/products/detail/ni/782121-01/18710172,2.0,1064.25,Active,https://www.newark.com/ni-emerson/782121-01/microphone-5-to-20khz-32-to-135db/dp/53AJ8459,9.0,964.92,STOCKED,11.0,True,Active,12-22-2025
782121-03,https://www.digikey.com/en/products/detail/ni/782121-03/18710746,0.0,3714.75,Active,https://www.newark.com/ni-emerson/782121-03/gras-1-4in-free-field-response/dp/53AJ8457,0.0,3302.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782121-06,https://www.digikey.com/en/products/detail/ni/782121-06/18710387,1.0,1114.88,Active,https://www.newark.com/ni-emerson/782121-06/gras-general-purpose-array-microphone/dp/22AJ2066,0.0,991.0,NO_LONGER_STOCKED,1.0,True,Active,12-22-2025
782122-01,https://www.digikey.com/en/products/detail/ni/782122-01/16648779,8.0,765.0,Active,https://www.newark.com/ni/782122-01/pcie-8430-2-serial-interface-device/dp/14AJ5473,3.0,780.3,STOCKED,11.0,True,Active,12-22-2025
782124-01,https://www.digikey.com/en/products/detail/ni/782124-01/16648379,2.0,982.12,Active,https://www.newark.com/ni/782124-01/pcie-8431-2-serial-interface-device/dp/14AJ5474,2.0,890.46,STOCKED,4.0,True,Active,12-22-2025
782128-02,,,,,https://www.newark.com/ni/782128-02-960680-100/standard-service-program-hw-3year/dp/14AJ9988,0.0,,NO_LONGER_MANUFACTURED,,False,Obsolete,12-22-2025
782248-02,https://www.digikey.com/en/products/detail/ni/782248-02/16647948,0.0,15546.38,Active,https://www.newark.com/ni-emerson/782248-02/at-1212-1-25gs-s-signal-generator/dp/47AK3089,0.0,13819.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
782249-01,https://www.digikey.com/en/products/detail/ni/782249-01/18710104,0.0,26882.82,Obsolete,,,,,,False,Obsolete,12-22-2025
782249-08,https://www.digikey.com/en/products/detail/ni/782249-08/18710696,0.0,37384.98,Obsolete,,,,,,False,Obsolete,12-22-2025
782249-09,https://www.digikey.com/en/products/detail/ni/782249-09/18710224,0.0,14047.3,Obsolete,,,,,,False,Obsolete,12-22-2025
782250-01,https://www.digikey.com/en/products/detail/ni/782250-01/12817817,21.0,1954.12,Active,https://www.newark.com/ni/782250-01/usb-6341-multifunction-i-o-device/dp/14AJ5485,5.0,1771.74,STOCKED,26.0,True,Active,12-22-2025
782251-01,https://www.digikey.com/en/products/detail/ni/782251-01/12817741,2.0,3215.25,Active,https://www.newark.com/ni/782251-01/usb-6341-multifunction-i-o-device/dp/14AJ5486,3.0,2915.16,STOCKED,5.0,True,Active,12-22-2025
782252-01,https://www.digikey.com/en/products/detail/ni/782252-01/12817625,4.0,2805.75,Active,https://www.newark.com/ni/782252-01/usb-6343-multifunction-i-o-device/dp/14AJ5487,0.0,2543.88,STOCKED,4.0,True,Active,12-22-2025
782253-01,https://www.digikey.com/en/products/detail/ni/782253-01/12817675,7.0,4304.25,Active,https://www.newark.com/ni/782253-01/usb-6343-multifunction-i-o-device/dp/14AJ5488,9.0,3902.52,STOCKED,16.0,True,Active,12-22-2025
782254-01,https://www.digikey.com/en/products/detail/ni/782254-01/12817772,4.0,3008.25,Active,https://www.newark.com/ni/782254-01/usb-6361-multifunction-i-o-device/dp/14AJ5489,20.0,2727.48,STOCKED,24.0,True,Active,12-22-2025
782255-01,https://www.digikey.com/en/products/detail/ni/782255-01/12817694,3.0,4009.5,Active,https://www.newark.com/ni/782255-01/usb-6361-multifunction-i-o-device/dp/14AJ5490,1.0,3635.28,STOCKED,4.0,True,Active,12-22-2025
782256-01,https://www.digikey.com/en/products/detail/ni/782256-01/12817829,3.0,3051.0,Active,https://www.newark.com/ni/782256-01/usb-6361-multifunction-i-o-device/dp/14AJ5491,0.0,2766.24,STOCKED,3.0,True,Active,12-22-2025
782257-01,https://www.digikey.com/en/products/detail/ni/782257-01/12817707,10.0,4005.0,Active,https://www.newark.com/ni/782257-01/usb-6363-multifunction-i-o-device/dp/14AJ5492,6.0,3631.2,STOCKED,16.0,True,Active,12-22-2025
782258-01,https://www.digikey.com/en/products/detail/ni/782258-01/12817857,5.0,5351.62,Active,https://www.newark.com/ni/782258-01/usb-6363-multifunction-i-o-device/dp/14AJ5493,14.0,4852.14,STOCKED,19.0,True,Active,12-22-2025
782259-01,https://www.digikey.com/en/products/detail/ni/782259-01/12817620,8.0,4345.88,Active,https://www.newark.com/ni/782259-01/usb-6363-multifunction-i-o-device/dp/13AJ4014,3.0,3940.26,STOCKED,11.0,True,Active,12-22-2025
